customer_id,age,annual_income,tenure_months,days_since_last_purchase,transactions,total_spend,premium_amount,claims_count,complaints_count,renewals_count,policies_count,channel,region,product_type,clv,recency,frequency,monetary,average_order_value,claim_rate,complaint_rate,renewal_ratio,premium_efficiency,monetary_per_tenure,engagement_score,tenure_band,engagement_style
RID-000833,42.0,74503.81,47.0,102.7,10,1355.89,1163.48,2,0,4,7,online,east,plus,3558.51,102.7,10,1355.89,135.589,0.2857142857142857,0.0,0.5714285714285714,1.1653745659573005,28.84872340425532,0.16423223363895434,mature,digital
RID-000837,43.0,51260.08,22.3,63.5,7,1537.9,855.49,0,1,4,5,branch,east,plus,4117.03,63.5,7,1537.9,219.70000000000002,0.0,0.14285714285714285,0.8,1.797683199102269,68.96412556053812,0.44804989773346976,growing,in_person
RID-001104,46.0,87935.33,39.1,50.5,13,928.4,500.21,0,0,3,6,online,west,premium,4587.77,50.5,13,928.4,71.41538461538461,0.0,0.0,0.5,1.8560204714020112,23.744245524296673,2.3986030133037564,mature,digital
RID-000860,55.0,70919.74,27.6,54.9,10,2499.45,1479.17,1,0,4,5,online,south,premium,5067.94,54.9,10,2499.45,249.945,0.2,0.0,0.8,1.6897652061629156,90.55978260869564,2.7409557509316795,growing,digital
RID-000568,44.0,45803.51,52.4,16.6,12,1173.16,692.63,2,0,4,6,branch,south,plus,4314.95,16.6,12,1173.16,97.76333333333334,0.3333333333333333,0.0,0.6666666666666666,1.6937758976654202,22.388549618320614,3.868999492938812,mature,in_person
RID-000176,59.0,91676.15,19.0,20.7,6,518.4,285.16,2,0,1,4,branch,south,plus,3834.16,20.7,6,518.4,86.39999999999999,0.5,0.0,0.25,1.8179267779492212,27.28421052631579,-0.7736188493557843,growing,in_person
RID-001462,54.0,117040.44,37.4,24.4,4,631.86,487.69,0,1,3,6,branch,south,plus,4027.92,24.4,4,631.86,157.965,0.0,0.25,0.5,1.2956181180668047,16.894652406417112,-1.883243418301595,mature,in_person
RID-000678,47.0,93009.88,25.4,32.5,9,1189.12,948.92,1,0,2,5,agent,south,basic,4283.72,32.5,9,1189.12,132.12444444444444,0.2,0.0,0.4,1.2531298739619778,46.815748031496064,0.8434872840369666,growing,assisted
RID-001395,50.0,84080.45,61.5,19.1,8,1043.5,757.06,0,1,5,8,agent,south,premium,3924.14,19.1,8,1043.5,130.4375,0.0,0.125,0.625,1.378358386389454,16.96747967479675,1.256163797906721,mature,assisted
RID-000335,30.0,71742.61,18.5,124.7,5,1030.18,699.88,1,0,2,4,agent,south,premium,2873.55,124.7,5,1030.18,206.036,0.25,0.0,0.5,1.4719380465222611,55.68540540540541,-2.7479997376461407,growing,assisted
RID-000760,46.0,54299.76,35.0,44.2,14,3459.08,2289.14,1,1,2,3,agent,west,enterprise,6063.95,44.2,14,3459.08,247.07714285714286,0.3333333333333333,0.07142857142857142,0.6666666666666666,1.5110827647063962,98.83085714285714,3.400252487872255,growing,assisted
RID-000638,36.0,64301.07,47.0,60.7,7,1004.15,674.88,1,1,4,6,agent,west,basic,3965.36,60.7,7,1004.15,143.45,0.16666666666666666,0.14285714285714285,0.6666666666666666,1.4878941441441442,21.364893617021277,-0.188981807558157,mature,assisted
RID-000894,33.0,103370.83,48.3,36.8,9,1130.85,763.9,2,0,4,6,agent,west,premium,4872.48,36.8,9,1130.85,125.64999999999999,0.3333333333333333,0.0,0.6666666666666666,1.4803639219793165,23.413043478260867,2.1542440390113495,mature,assisted
RID-001206,36.0,81905.74,23.5,60.1,7,1800.11,1266.67,0,0,2,3,branch,south,plus,4764.91,60.1,7,1800.11,257.1585714285714,0.0,0.0,0.6666666666666666,1.4211357338533317,76.6004255319149,0.7335215159985886,growing,in_person
RID-000199,43.0,37976.39,29.6,12.6,8,1887.2,1224.63,0,0,3,6,agent,south,plus,3980.15,12.6,8,1887.2,235.9,0.0,0.0,0.5,1.5410368846100453,63.75675675675676,1.5606929082389653,growing,assisted
RID-000016,52.0,79237.91,45.7,19.8,6,1132.42,1003.45,0,1,4,7,online,south,plus,4201.71,19.8,6,1132.42,188.73666666666668,0.0,0.16666666666666666,0.5714285714285714,1.1285265832876576,24.779431072210066,-0.07848712085001086,mature,digital
RID-000266,36.0,75810.37,43.2,54.4,6,997.24,763.41,2,0,4,7,branch,east,plus,3925.12,54.4,6,997.24,166.20666666666668,0.2857142857142857,0.0,0.5714285714285714,1.3062967474882436,23.08425925925926,0.001401328165994753,mature,in_person
RID-000558,48.0,119266.79,39.4,86.1,7,1513.81,1322.06,0,2,2,4,branch,east,plus,4466.63,86.1,7,1513.81,216.25857142857143,0.0,0.2857142857142857,0.5,1.1450388030800418,38.42157360406091,-2.7065606444748243,mature,in_person
RID-001034,51.0,44992.97,44.0,58.6,6,952.66,553.43,1,0,4,6,online,south,premium,3292.88,58.6,6,952.66,158.77666666666667,0.16666666666666666,0.0,0.6666666666666666,1.7213739768353722,21.651363636363637,0.394327545833264,mature,digital
RID-000817,29.0,96428.65,37.5,3.4,6,1854.16,949.4,0,1,3,4,agent,west,plus,5150.8,3.4,6,1854.16,309.0266666666667,0.0,0.16666666666666666,0.75,1.9529808299978935,49.44426666666667,1.3434271796566617,mature,assisted
RID-001508,35.0,41928.71,46.0,46.1,9,1756.45,1486.71,1,1,3,5,agent,west,plus,4624.53,46.1,9,1756.45,195.16111111111113,0.2,0.1111111111111111,0.6,1.1814341734433749,38.18369565217392,0.8293831211698486,mature,assisted
RID-000742,44.0,117703.41,27.4,68.1,12,2606.86,2219.07,2,1,2,4,agent,east,basic,6516.2,68.1,12,2606.86,217.23833333333334,0.5,0.08333333333333333,0.5,1.1747533876804246,95.14087591240877,0.9920511756787616,growing,assisted
RID-001393,28.0,35158.33,75.6,34.4,6,740.56,395.66,0,0,6,7,online,south,plus,3244.19,34.4,6,740.56,123.42666666666666,0.0,0.0,0.8571428571428571,1.8717080321488144,9.795767195767196,2.1003361558992415,loyal,digital
RID-000479,34.0,82794.66,62.1,46.3,6,949.64,580.45,0,1,4,6,branch,south,basic,4235.53,46.3,6,949.64,158.27333333333334,0.0,0.16666666666666666,0.6666666666666666,1.6360410026703418,15.292109500805152,-0.3149928877382959,mature,in_person
RID-001006,51.0,62521.22,60.9,47.9,10,2489.5,1307.89,1,0,5,8,agent,east,basic,5665.25,47.9,10,2489.5,248.95,0.125,0.0,0.625,1.903447537636957,40.87848932676519,1.9987019224291205,mature,assisted
RID-000417,36.0,71295.84,71.5,46.0,6,1054.38,577.12,0,0,4,6,branch,north,plus,4352.8,46.0,6,1054.38,175.73000000000002,0.0,0.0,0.6666666666666666,1.8269683947879125,14.746573426573429,0.7499707299319182,mature,in_person
RID-000200,49.0,71327.51,57.2,73.1,2,388.57,286.31,2,1,5,7,online,west,basic,3202.82,73.1,2,388.57,194.285,0.2857142857142857,0.5,0.7142857142857143,1.3571653103279662,6.793181818181818,-4.454824945808728,mature,digital
RID-000728,48.0,74613.05,36.3,61.7,8,1363.29,879.43,1,1,3,5,online,east,basic,4055.35,61.7,8,1363.29,170.41125,0.2,0.125,0.6,1.5501972868790013,37.55619834710744,-0.08051078288740032,mature,digital
RID-000994,52.0,82038.01,33.7,26.4,4,649.81,372.57,1,0,5,8,partner,east,premium,3643.72,26.4,4,649.81,162.4525,0.125,0.0,0.625,1.744128620125077,19.282195845697327,0.3163587205826628,growing,assisted
RID-001723,41.0,99032.48,40.9,20.7,11,1357.39,719.43,1,1,2,5,agent,north,plus,5544.35,20.7,11,1357.39,123.39909090909092,0.2,0.09090909090909091,0.4,1.886757571966696,33.1880195599022,1.363344334084573,mature,assisted
RID-001152,34.0,81345.96,21.2,58.6,10,1210.1,733.76,1,0,1,2,agent,south,plus,3822.87,58.6,10,1210.1,121.00999999999999,0.5,0.0,0.5,1.649176842564326,57.08018867924528,1.0253779187091283,growing,assisted
RID-001493,33.0,63613.83,24.0,64.5,8,1156.32,683.99,0,0,3,6,online,south,premium,3916.16,64.5,8,1156.32,144.54,0.0,0.0,0.5,1.690551031447828,48.18,0.09578169754689003,growing,digital
RID-001450,30.0,72164.41,47.9,69.1,7,1535.26,1351.27,0,0,5,6,online,west,plus,4917.83,69.1,7,1535.26,219.32285714285715,0.0,0.0,0.8333333333333334,1.1361607968799723,32.05135699373695,1.3745700751891061,mature,digital
RID-001173,40.0,68995.52,27.7,11.6,10,2036.21,1021.81,1,0,3,5,branch,south,plus,4725.65,11.6,10,2036.21,203.621,0.2,0.0,0.6,1.9927481625742556,73.50938628158845,2.889031089681333,growing,in_person
RID-001118,41.0,77697.42,43.1,80.9,5,1318.44,1109.68,0,1,4,6,agent,east,premium,3989.89,80.9,5,1318.44,263.688,0.0,0.2,0.6666666666666666,1.1881263066830077,30.590255220417635,-1.8844319905579412,mature,assisted
RID-001569,34.0,78444.06,36.7,85.8,8,1565.17,1046.47,0,0,3,6,online,west,premium,4717.65,85.8,8,1565.17,195.64625,0.0,0.0,0.5,1.4956663831739085,42.64768392370572,-0.5054246374770253,mature,digital
RID-000600,29.0,88971.02,22.0,40.9,4,1005.33,872.39,1,1,4,5,branch,west,enterprise,4116.29,40.9,4,1005.33,251.3325,0.2,0.25,0.8,1.1523859741629319,45.69681818181818,-0.7378237066181559,growing,in_person
RID-001386,43.0,71024.99,53.3,61.8,6,1036.56,735.86,0,0,4,5,branch,north,premium,4725.31,61.8,6,1036.56,172.76,0.0,0.0,0.8,1.4086375125703259,19.44765478424015,1.0200689913122352,mature,in_person
RID-000931,48.0,57210.87,52.7,109.2,5,517.99,272.05,0,1,4,7,online,south,enterprise,2267.35,109.2,5,517.99,103.598,0.0,0.2,0.5714285714285714,1.9040249954052564,9.829032258064515,-3.194691818003485,mature,digital
RID-000311,30.0,123933.89,35.1,66.7,5,933.33,643.28,0,3,3,5,branch,west,basic,4728.54,66.7,5,933.33,186.666,0.0,0.6,0.6,1.4508923019524935,26.59059829059829,-4.377249743944506,growing,in_person
RID-000057,38.0,83892.08,35.1,28.7,3,162.09,84.69,0,0,4,5,partner,west,premium,3956.08,28.7,3,162.09,54.03,0.0,0.0,0.8,1.913921360255048,4.6179487179487175,0.8097406574211428,growing,assisted
RID-000549,45.0,96996.28,37.3,59.3,6,178.22,115.41,1,2,3,6,online,north,plus,2862.85,59.3,6,178.22,29.703333333333333,0.16666666666666666,0.3333333333333333,0.5,1.5442336019409064,4.778016085790885,-2.6335016594355976,mature,digital
RID-000423,56.0,84667.69,30.6,156.5,7,945.0,804.67,2,0,2,3,online,south,enterprise,3370.64,156.5,7,945.0,135.0,0.6666666666666666,0.0,0.6666666666666666,1.1743944722681348,30.882352941176467,-1.9874310988514319,growing,digital
RID-000597,67.0,61995.68,41.6,67.5,8,1320.4,1011.92,1,0,4,6,online,south,plus,4105.26,67.5,8,1320.4,165.05,0.16666666666666666,0.0,0.6666666666666666,1.304846232903787,31.740384615384617,0.9061841539272419,mature,digital
RID-000044,52.0,58466.83,37.1,19.0,7,671.28,347.96,0,0,3,5,agent,north,plus,2979.16,19.0,7,671.28,95.89714285714285,0.0,0.0,0.6,1.929187262903782,18.093800539083556,1.5355639497588527,mature,assisted
RID-000101,49.0,87427.3,31.7,26.2,10,1401.79,783.64,0,0,3,4,branch,west,premium,4623.51,26.2,10,1401.79,140.179,0.0,0.0,0.75,1.7888188453881884,44.2205047318612,3.2825080709971437,growing,in_person
RID-000275,49.0,74777.58,29.5,124.2,6,1164.29,830.86,1,2,2,4,partner,west,premium,3556.4,124.2,6,1164.29,194.04833333333332,0.25,0.3333333333333333,0.5,1.4013070794116937,39.46745762711864,-4.465346314038983,growing,assisted
RID-001259,28.0,81106.0,29.7,89.5,5,734.84,427.46,2,0,2,5,agent,south,basic,3088.19,89.5,5,734.84,146.96800000000002,0.4,0.0,0.4,1.719084826650447,24.742087542087543,-2.2915045171176027,growing,assisted
RID-000354,36.0,56243.17,33.1,80.1,4,818.6,688.27,1,0,3,5,agent,south,premium,3334.5,80.1,4,818.6,204.65,0.2,0.0,0.6,1.1893588272044402,24.731117824773413,-1.3336205700126538,growing,assisted
RID-000102,51.0,102522.87,23.4,14.9,8,1759.9,1009.25,0,0,1,3,branch,south,enterprise,5269.39,14.9,8,1759.9,219.9875,0.0,0.0,0.3333333333333333,1.7437701263314342,75.20940170940172,0.6006945093409253,growing,in_person
