,count,mean,std,min,25%,50%,75%,max
age,1800.0,41.681666666666665,9.807502289946976,18.0,35.0,42.0,48.0,79.0
annual_income,1800.0,75818.65775,21108.512660847246,18000.0,60834.2275,75702.55,89986.8975,146121.77
tenure_months,1800.0,35.25472222222222,13.779674227783934,1.0,25.875,35.1,44.8,77.8
days_since_last_purchase,1800.0,52.76538888888889,35.438613820060304,1.8,26.4,45.0,71.125,247.8
transactions,1800.0,7.109444444444445,2.6217374382945833,1.0,5.0,7.0,9.0,18.0
total_spend,1800.0,1169.3411277777777,608.0018666132786,60.0,729.9425,1077.83,1524.6125,4192.15
premium_amount,1800.0,814.5635666666666,448.3029055555775,32.17,497.56,742.065,1056.8825000000002,3459.77
claims_count,1800.0,0.7277777777777777,0.854186014368928,0.0,0.0,1.0,1.0,5.0
complaints_count,1800.0,0.4161111111111111,0.6573367433024607,0.0,0.0,0.0,1.0,4.0
renewals_count,1800.0,2.9611111111111112,1.4034179229541803,0.0,2.0,3.0,4.0,7.0
policies_count,1800.0,4.969444444444444,1.6051818957784778,1.0,4.0,5.0,6.0,10.0
clv,1800.0,4070.806783333333,849.8171203964985,1398.87,3520.9175,4040.0,4625.4349999999995,7634.8
