feature,importance,importance_std
annual_income,0.4852123394956303,0.04652467259463147
total_spend,0.11756606363297945,0.017981271220829542
monetary,0.11756606363290521,0.017981271220822638
renewals_count,0.06712468248352807,0.012813528900246458
frequency,0.05195951070741062,0.014176015695944613
tenure_band,0.012270716663456346,0.0038311832826957715
complaints_count,0.0018216924233413478,0.003266564724901842
claim_rate,0.00042006051145886125,0.00034665937384198116
premium_efficiency,0.00028989275952702453,0.00039461061168654754
channel,0.00012345553038781154,0.000522025583807915
engagement_style,0.00010668548459744076,0.0005712242454157453
average_order_value,-1.7263319970386992e-05,0.0009729475714919988
